suite_name,experiment,policy,policy_variant,policy_label,base_policy,x_name,x_value,seed,scale_mode,num_parallel_workers,trial_timeout_sec,max_control_steps,obstacle_count,world_width,world_height,world_area,obstacle_area_sum,occupancy_ratio,min_mass,max_mass,mass_scale,status,reason,success,control_steps,wall_clock_sec,planning_time,exec_time,total_expanded,total_visited,total_sims,planning_iterations,push_tasks_executed,timeout_kind,timeout_source_x_value,timeout_cap_applied
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,25.0,2,density_scaling,16,800.0,20000,25,8.0,8.0,64.0,10.919461708127834,0.1706165891894974,15.0,30.0,,TERMINATED,task_done,1,2356,46.43025231361389,10.271136283874512,56.14999999999788,10,16,20,2,10,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,25.0,3,density_scaling,16,800.0,20000,25,8.0,8.0,64.0,11.284363581945449,0.17631818096789764,15.0,30.0,,TERMINATED,task_done,1,3972,51.27021336555481,9.123703241348267,95.85000000000467,11,18,22,2,11,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,25.0,4,density_scaling,16,800.0,20000,25,8.0,8.0,64.0,11.104969682087226,0.1735151512826129,15.0,30.0,,TERMINATED,plan_fail,0,3536,40.833221197128296,10.262213945388794,88.32500000000296,23,38,46,2,13,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,30.0,0,density_scaling,16,800.0,20000,30,8.0,8.0,64.0,12.631906920768532,0.19737354563700832,15.0,30.0,,TERMINATED,task_done,1,5221,83.29217553138733,12.132500648498535,126.7750000000117,14,20,22,2,14,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,30.0,1,density_scaling,16,800.0,20000,30,8.0,8.0,64.0,14.466406883553468,0.22603760755552293,15.0,30.0,,TERMINATED,task_done,1,2945,56.559354305267334,10.938254356384277,70.77499999999897,9,16,18,1,9,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,30.0,2,density_scaling,16,800.0,20000,30,8.0,8.0,64.0,12.846727465334432,0.2007301166458505,15.0,30.0,,TERMINATED,task_done,1,3919,181.05430126190186,94.33555293083191,95.77500000000465,129,144,258,1,21,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,30.0,3,density_scaling,16,800.0,20000,30,8.0,8.0,64.0,13.4897617453429,0.2107775272709828,15.0,30.0,,TERMINATED,task_done,1,4684,71.96391177177429,13.535891771316528,113.42500000000867,13,21,26,2,13,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,30.0,4,density_scaling,16,800.0,20000,30,8.0,8.0,64.0,13.105605422824581,0.20477508473163408,15.0,30.0,,TERMINATED,task_done,1,3573,47.095266819000244,10.051713705062866,83.55000000000187,13,22,26,2,13,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,35.0,0,density_scaling,16,800.0,20000,35,8.0,8.0,64.0,14.39802933915205,0.22496920842425078,15.0,30.0,,TERMINATED,task_done,1,5306,120.11932277679443,21.836342573165894,129.57500000001232,22,34,40,3,22,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,35.0,1,density_scaling,16,800.0,20000,35,8.0,8.0,64.0,16.269785963113904,0.25421540567365475,15.0,30.0,,TERMINATED,task_done,1,3868,92.37211203575134,21.32587456703186,94.35000000000433,16,30,32,1,16,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,35.0,2,density_scaling,16,800.0,20000,35,8.0,8.0,64.0,15.567363206071786,0.24324005009487165,15.0,30.0,,TERMINATED,task_done,1,3608,110.50704860687256,28.272429943084717,88.525000000003,18,34,36,1,18,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,35.0,3,density_scaling,16,800.0,20000,35,8.0,8.0,64.0,15.377991761812146,0.24028112127831477,15.0,30.0,,TERMINATED,task_done,1,4527,97.51177263259888,19.73923683166504,110.10000000000791,21,37,42,1,20,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,35.0,4,density_scaling,16,800.0,20000,35,8.0,8.0,64.0,14.631092100470745,0.2286108140698554,15.0,30.0,,TERMINATED,task_done,1,5690,77.28360033035278,14.810842275619507,138.2250000000143,19,32,38,3,19,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,40.0,0,density_scaling,16,800.0,20000,40,8.0,8.0,64.0,15.849002694444376,0.24764066710069338,15.0,30.0,,TERMINATED,task_done,1,5490,137.9532024860382,28.730087995529175,134.42500000001343,26,46,52,2,26,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,40.0,1,density_scaling,16,800.0,20000,40,8.0,8.0,64.0,17.68350265722931,0.276304729019208,15.0,30.0,,TERMINATED,task_done,1,8536,216.42676186561584,36.04689931869507,211.47500000003095,30,52,60,2,30,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,40.0,2,density_scaling,16,800.0,20000,40,8.0,8.0,64.0,17.39284988371795,0.271763279433093,15.0,30.0,,TIMEOUT,planning_timeout,0,20000,800.0,800.0,800.0,20000,20000,20000,20000,20000,policy_internal_timeout,,1
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,40.0,3,density_scaling,16,800.0,20000,40,8.0,8.0,64.0,16.903478439458308,0.26411685061653606,15.0,30.0,,TERMINATED,task_done,1,6404,161.92972993850708,32.12872886657715,157.10000000001858,31,55,62,3,31,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,40.0,4,density_scaling,16,800.0,20000,40,8.0,8.0,64.0,16.43447118003118,0.2567886121879872,15.0,30.0,,TERMINATED,task_done,1,6586,109.86681246757507,22.319835424423218,160.80000000001942,22,35,53,2,21,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,45.0,0,density_scaling,16,800.0,20000,45,8.0,8.0,64.0,17.262719388559784,0.2697299904462466,15.0,30.0,,TERMINATED,plan_fail,0,6989,238.92509055137634,66.5455412864685,174.65000000002257,66,93,132,2,37,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,45.0,1,density_scaling,16,800.0,20000,45,8.0,8.0,64.0,19.171732673698557,0.29955832302653995,15.0,30.0,,TERMINATED,task_done,1,6170,182.50199580192566,41.87748074531555,152.20000000001747,28,49,56,1,24,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,45.0,2,density_scaling,16,800.0,20000,45,8.0,8.0,64.0,nan,nan,15.0,30.0,,TIMEOUT_PRUNED,pruned_after_seed_timeout_at_obstacle_count=40,0,20000,800.0,800.0,800.0,20000,20000,20000,20000,20000,timeout_pruned_seed,40.0,1
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,45.0,3,density_scaling,16,800.0,20000,45,8.0,8.0,64.0,18.632344196664906,0.29113037807288916,15.0,30.0,,TERMINATED,plan_fail,0,8900,255.05143690109253,80.0278046131134,222.37500000003342,85,110,170,3,31,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,45.0,4,density_scaling,16,800.0,20000,45,8.0,8.0,64.0,17.357214518854263,0.27120647685709787,15.0,30.0,,TERMINATED,task_done,1,7796,164.18384909629822,32.86395502090454,191.12500000002632,31,56,68,2,30,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,15.0,0,density_scaling,16,800.0,20000,15,8.0,8.0,64.0,6.896411147092687,0.10775642417332323,15.0,30.0,,TERMINATED,task_done,1,1741,13.989065647125244,2.5021729469299316,37.19999999999896,6,12,12,1,6,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,15.0,1,density_scaling,16,800.0,20000,15,8.0,8.0,64.0,7.936905385609512,0.12401414665014862,15.0,30.0,,TERMINATED,task_done,1,2348,22.641016483306885,3.4910495281219482,54.124999999997996,7,14,14,1,7,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,15.0,2,density_scaling,16,800.0,20000,15,8.0,8.0,64.0,5.366758159120872,0.08385559623626362,15.0,30.0,,TERMINATED,task_done,1,3265,23.988369941711426,3.3031558990478516,75.04999999999994,8,16,16,1,8,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,15.0,3,density_scaling,16,800.0,20000,15,8.0,8.0,64.0,7.450735402078755,0.11641774065748055,15.0,30.0,,TERMINATED,task_done,1,2347,22.33730149269104,4.182940721511841,54.62499999999797,7,14,14,1,7,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,15.0,4,density_scaling,16,800.0,20000,15,8.0,8.0,64.0,7.17513966561798,0.11211155727528094,15.0,30.0,,TERMINATED,task_done,1,9199,188.70209789276123,30.926266193389893,215.6250000000319,199,398,398,1,199,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,20.0,0,density_scaling,16,800.0,20000,20,8.0,8.0,64.0,9.000933565476204,0.1406395869605657,15.0,30.0,,TERMINATED,plan_fail,0,1,96.59270930290222,96.57842564582825,0.0,200,400,400,1,0,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,20.0,1,density_scaling,16,800.0,20000,20,8.0,8.0,64.0,10.357541126346867,0.1618365800991698,15.0,30.0,,TERMINATED,task_done,1,3619,66.7747950553894,16.15471625328064,86.87500000000263,27,54,54,1,27,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,20.0,2,density_scaling,16,800.0,20000,20,8.0,8.0,64.0,8.05342780399303,0.1258348094373911,15.0,30.0,,TERMINATED,task_done,1,3876,46.26821517944336,7.124941110610962,93.55000000000415,11,22,22,1,11,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,20.0,3,density_scaling,16,800.0,20000,20,8.0,8.0,64.0,9.581620243122366,0.14971281629878697,15.0,30.0,,TERMINATED,task_done,1,2828,30.628204107284546,5.925295114517212,67.17499999999815,9,18,18,1,9,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,20.0,4,density_scaling,16,800.0,20000,20,8.0,8.0,64.0,9.381083004441063,0.1465794219443916,15.0,30.0,,TERMINATED,task_done,1,10454,116.79526805877686,17.377071619033813,250.35000000003978,68,136,136,2,68,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,25.0,0,density_scaling,16,800.0,20000,25,8.0,8.0,64.0,11.106420243122368,0.173537816298787,15.0,30.0,,TERMINATED,plan_fail,0,1,67.9090085029602,67.87182068824768,0.0,200,400,400,1,0,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,25.0,1,density_scaling,16,800.0,20000,25,8.0,8.0,64.0,12.658176867084222,0.19778401354819097,15.0,30.0,,TERMINATED,task_done,1,6812,122.35626173019409,22.143296718597412,167.62500000002098,30,60,60,1,30,,,0
paper_density_scaling_v1,density,slpush,slpush,SLPush,slpush,obstacle_count,25.0,2,density_scaling,16,800.0,20000,25,8.0,8.0,64.0,10.919461708127834,0.1706165891894974,15.0,30.0,,TERMINATED,task_done,1,2624,39.34003472328186,7.001341104507446,63.32499999999747,9,18,18,1,9,,,0
