experiment,experiment_canon,policy,policy_variant,policy_label,x_name,x_value,num_trials,num_success,num_timeout,num_timeout_pruned,num_error,success_rate,success_ci95_low,success_ci95_high,status_counts,planning_time_mean_all,planning_time_std_all,planning_time_median_all,planning_time_mean_capped,planning_time_std_capped,planning_time_median_capped,planning_time_mean_success,planning_time_std_success,planning_time_median_success,wall_clock_sec_mean_all,wall_clock_sec_std_all,wall_clock_sec_mean_success,wall_clock_sec_std_success,exec_time_mean_success,exec_time_std_success,control_steps_mean_success,control_steps_std_success,total_sims_mean_success,total_sims_std_success,total_expanded_mean_success,total_expanded_std_success,total_visited_mean_success,total_visited_std_success,planning_iterations_mean_success,planning_iterations_std_success,push_tasks_executed_mean_success,push_tasks_executed_std_success,occupancy_ratio_mean,occupancy_ratio_std
density,density,ours_no_recursive,ours_no_recursive,PushAround w/o rec.,obstacle_count,45.0,10,7,3,1,0,0.7,0.39677814746114537,0.8922087325936989,TERMINATED:7;TIMEOUT:2;TIMEOUT_PRUNED:1,268.85976498126985,366.6436573310287,48.11581766605377,268.85976498126985,366.6436573310287,48.11581766605377,41.22823568752834,11.586655270516394,40.0745632648468,379.5958329439163,292.3149922676569,199.42261849130904,43.92567749867934,232.8535714285945,45.70255378661182,9428.142857142857,1836.2595521486453,179.28571428571428,61.58115048647675,31.571428571428573,14.40899190155396,129.57142857142858,36.031732046707305,2.2857142857142856,0.7559289460184545,26.0,7.094598884597588,0.2831470121530271,0.0153402200124461
density,density,recursive,recursive,Rec-NAMO,obstacle_count,15.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,15.83978226184845,12.380769980411419,13.466017127037048,15.83978226184845,12.380769980411419,13.466017127037048,15.83978226184845,12.380769980411419,13.466017127037048,78.52292912006378,63.70475295117116,78.52292912006378,63.70475295117116,177.52249999999566,129.10510976738206,7395.4,5157.597657824814,0.0,0.0,4.3,3.433495141818157,11.8,7.757433710820723,4.3,3.433495141818157,11.8,7.757433710820723,0.1110611168784283,0.010233747370247162
density,density,recursive,recursive,Rec-NAMO,obstacle_count,20.0,10,6,4,0,0,0.6,0.31267376973365824,0.8318196702937638,TERMINATED:6;TIMEOUT:4,353.50061376094817,385.46203976406093,97.9747451543808,353.50061376094817,385.46203976406093,97.9747451543808,55.83435626824697,40.37534927642857,51.726861357688904,413.5224891424179,341.40769736310534,155.8708152373632,103.21547013684473,265.34999999997444,138.75314681112138,10856.0,5526.181538820454,0.0,0.0,5.833333333333333,4.167333280008532,20.0,10.256705123966467,5.833333333333333,4.167333280008532,20.0,10.256705123966467,0.14635423221104576,0.010985397176318908
density,density,recursive,recursive,Rec-NAMO,obstacle_count,25.0,10,0,10,4,0,0.0,0.0,0.2775327998628892,TIMEOUT:6;TIMEOUT_PRUNED:4,800.0,0.0,800.0,800.0,0.0,800.0,,,,800.0,0.0,,,,,,,,,,,,,,,,,0.1830780751257586,0.015334906782646863
density,density,recursive,recursive,Rec-NAMO,obstacle_count,30.0,10,0,10,10,0,0.0,0.0,0.2775327998628892,TIMEOUT_PRUNED:10,800.0,0.0,800.0,800.0,0.0,800.0,,,,800.0,0.0,,,,,,,,,,,,,,,,,,
density,density,recursive,recursive,Rec-NAMO,obstacle_count,35.0,10,0,10,10,0,0.0,0.0,0.2775327998628892,TIMEOUT_PRUNED:10,800.0,0.0,800.0,800.0,0.0,800.0,,,,800.0,0.0,,,,,,,,,,,,,,,,,,
density,density,recursive,recursive,Rec-NAMO,obstacle_count,40.0,10,0,10,10,0,0.0,0.0,0.2775327998628892,TIMEOUT_PRUNED:10,800.0,0.0,800.0,800.0,0.0,800.0,,,,800.0,0.0,,,,,,,,,,,,,,,,,,
density,density,recursive,recursive,Rec-NAMO,obstacle_count,45.0,10,0,10,10,0,0.0,0.0,0.2775327998628892,TIMEOUT_PRUNED:10,800.0,0.0,800.0,800.0,0.0,800.0,,,,800.0,0.0,,,,,,,,,,,,,,,,,,
density,density,slpush,slpush,SL-Push (sim),obstacle_count,15.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,4.896938133239746,4.8150190514180595,2.9171255826950073,4.896938133239746,4.8150190514180595,2.9171255826950073,4.896938133239746,4.8150190514180595,2.9171255826950073,48.928466963768,45.328097181812176,48.928466963768,45.328097181812176,114.92250000000271,85.13430684153673,4908.7,3372.5176896002586,27.6,18.15488914865635,13.8,9.077444574328174,27.6,18.15488914865635,1.0,0.0,13.8,9.077444574328174,0.1110611168784283,0.010233747370247162
density,density,slpush,slpush,SL-Push (sim),obstacle_count,20.0,10,8,1,0,0,0.8,0.49016247153664183,0.9433178485456247,TERMINATED:9;TIMEOUT:1,90.1534236907959,249.6697844076424,8.77814507484436,165.90731222629546,334.20487736462195,8.77814507484436,7.384140282869339,2.7323137373789756,7.222433090209961,146.48237984180452,231.28159906339735,77.79439488053322,28.715725657353918,182.65937500000928,92.73580362810937,7542.75,3778.4513740042075,43.75,20.464254549963805,21.875,10.232127274981902,43.75,20.464254549963805,1.125,0.3535533905932738,21.875,10.232127274981902,0.14635423221104576,0.010985397176318908
density,density,slpush,slpush,SL-Push (sim),obstacle_count,25.0,10,7,2,1,0,0.7,0.39677814746114537,0.8922087325936989,TERMINATED:8;TIMEOUT:1;TIMEOUT_PRUNED:1,178.36299591064454,328.42288663286513,17.638288617134094,249.8764917373657,379.66406623963627,17.638288617134094,14.109273910522461,6.980194604463894,11.193461179733276,249.56160452365876,292.8394926727554,115.8172367300306,47.43769168107819,224.0321428571461,99.76857775442897,9154.42857142857,4035.1500532670343,70.0,39.1066916694999,35.0,19.55334583474995,70.0,39.1066916694999,1.0,0.0,35.0,19.55334583474995,0.1776455941132073,0.014261956047791211
density,density,slpush,slpush,SL-Push (sim),obstacle_count,30.0,10,7,2,2,0,0.7,0.39677814746114537,0.8922087325936989,TERMINATED:8;TIMEOUT_PRUNED:2,194.28579611778258,321.01626880845083,49.44104993343353,261.53451015949247,371.88262483474784,49.44104993343353,30.76358594213213,18.476978420729836,19.592214107513428,315.8601953983307,271.00483386842006,204.43334007263184,107.89233485283883,286.9749999999603,146.22823057345855,11617.142857142857,5871.289308393612,118.85714285714286,86.62453188219561,59.42857142857143,43.312265941097806,118.85714285714286,86.62453188219561,1.2857142857142858,0.48795003647426666,59.42857142857143,43.312265941097806,0.2070557950760018,0.013789608532544361
density,density,slpush,slpush,SL-Push (sim),obstacle_count,35.0,10,2,5,2,0,0.2,0.05668215145437519,0.5098375284633583,TERMINATED:5;TIMEOUT:3;TIMEOUT_PRUNED:2,454.3801436662674,366.7652001992956,499.4343795776367,652.5165003299713,311.5321347399395,800.0,62.58250164985657,58.43912887646862,62.58250164985657,507.2568078517914,326.4147596972421,326.8507926464081,232.92698763980408,268.2749999999782,145.98219497590307,10815.0,5829.388304101898,149.0,142.8355697996826,74.5,71.4177848998413,149.0,142.8355697996826,1.0,0.0,74.5,71.4177848998413,0.23719198052410814,0.019239615093206926
density,density,slpush,slpush,SL-Push (sim),obstacle_count,40.0,10,1,6,5,0,0.1,0.017876213095072896,0.4041500267952385,TERMINATED:4;TIMEOUT:1;TIMEOUT_PRUNED:5,541.792452454567,337.85511121692764,800.0,726.996974992752,230.85583510513365,800.0,69.96974992752075,0.0,69.96974992752075,585.9326937437057,295.5227348326468,511.1046314239502,0.0,413.2249999998981,0.0,16600.0,0.0,176.0,0.0,88.0,0.0,176.0,0.0,1.0,0.0,88.0,0.0,0.26114057306663274,0.02136522413410665
density,density,slpush,slpush,SL-Push (sim),obstacle_count,45.0,10,0,7,6,0,0.0,0.0,0.2775327998628892,TERMINATED:3;TIMEOUT:1;TIMEOUT_PRUNED:6,619.9845907926559,291.78492644522794,800.0,800.0,0.0,800.0,,,,620.034072303772,291.71140500999275,,,,,,,,,,,,,,,,,0.2847153190359166,0.019308136924221456
